Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,"CCAFS , SLC-40",Dragon Spacecraft Qualification Unit,0,,,,F9 v1.07B0003.18,,4 June 2010,18:45
1,"CCAFS , SLC-40",Dragon demo flight C1 (Dragon C101),0,,,,F9 v1.07B0003.18,,4 June 2010,18:45
2,"CCAFS , SLC-40",Dragon demo flight C2+ (Dragon C102),525 kg,,,,F9 v1.07B0004.18,,8 December 2010,15:43
3,"CCAFS , SLC-40",SpaceX CRS-1 (Dragon C103),"4,700 kg",,,,F9 v1.07B0005.18,,22 May 2012,07:44
4,"CCAFS , SLC-40",SpaceX CRS-2 (Dragon C104),"4,877 kg",,,,F9 v1.07B0006.18,,8 October 2012,00:35
5,"VAFB , SLC-4E",CASSIOPE,500 kg,,,,F9 v1.07B0007.18,,1 March 2013,15:10
6,"CCAFS , SLC-40",SES-8,"3,170 kg",,,,F9 v1.17B10038,,29 September 2013,16:00
7,"CCAFS , SLC-40",Thaicom 6,"3,325 kg",,,,F9 v1.1 B1004,,3 December 2013,22:41
8,"Cape Canaveral , LC-40",SpaceX CRS-3 (Dragon C105),"2,296 kg",,,,F9 v1.1,,6 January 2014,22:06
9,"Cape Canaveral , LC-40",Orbcomm-OG2 -1 (6 satellites),"1,316 kg",,,,F9 v1.1,,18 April 2014,19:25
10,"Cape Canaveral , LC-40",AsiaSat 8,"4,535 kg",,,,F9 v1.1,,14 July 2014,15:15
11,"Cape Canaveral , LC-40",AsiaSat 6,"4,428 kg",,,,F9 v1.1,,5 August 2014,08:00
12,"Cape Canaveral , LC-40",SpaceX CRS-4 (Dragon C106 .1),"2,216 kg",,,,F9 v1.1[,,7 September 2014,05:00
13,"Cape Canaveral , LC-40",SpaceX CRS-5 (Dragon C107),"2,395 kg",,,,F9 v1.1[,,21 September 2014,05:52
14,"Cape Canaveral , LC-40",DSCOVR,570 kg,,,,F9 v1.1[,,10 January 2015,09:47
15,"Cape Canaveral , LC-40",ABS-3A Eutelsat 115 West B,"4,159 kg",,,,F9 v1.1[,,11 February 2015,23:03
16,"Cape Canaveral , LC-40",SpaceX CRS-6 (Dragon C108.1 ),"1,898 kg",,,,F9 v1.1[,,2 March 2015,03:50
17,"Cape Canaveral , LC-40",TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",,,,F9 v1.1[,,14 April 2015,20:10
18,"Cape Canaveral , LC-40",SpaceX CRS-7 (Dragon C109),"1,952 kg",,,,F9 v1.1[,,27 April 2015,23:03
19,"Cape Canaveral , LC-40",Orbcomm-OG2 -2 (11 satellites),"2,034 kg",,,,F9 v1.1[,,28 June 2015,14:21
20,"VAFB , SLC-4E",Jason-3,553 kg,,,,F9 FT[,,22 December 2015,01:29
21,"Cape Canaveral , LC-40",SES-9,"5,271 kg",,,,F9 v1.1[,,17 January 2016,18:42
22,"Cape Canaveral , LC-40",SpaceX CRS-8 (Dragon C110.1),"3,136 kg",,,,F9 FT[,,4 March 2016,23:35
23,"Cape Canaveral , LC-40",JCSAT-14,"4,696 kg",,,,F9 FT[,,8 April 2016,20:43
24,"Cape Canaveral , LC-40",Thaicom 8,"3,100 kg",,,,F9 FT[,,6 May 2016,05:21
25,"Cape Canaveral , LC-40",ABS-2A Eutelsat 117 West B,"3,600 kg",,,,F9 FT[,,27 May 2016,21:39
26,"Cape Canaveral , LC-40",SpaceX CRS-9 (Dragon C111.1),"2,257 kg",,,,F9 FT[,,15 June 2016,14:29
27,"Cape Canaveral , LC-40",JCSAT-16,"4,600 kg",,,,F9 FT[,,18 July 2016,04:45
28,"VAFB , SLC-4E",Iridium NEXT -1 (10 satellites),"9,600 kg",,,,F9 FT[,,14 August 2016,05:26
29,"KSC , LC-39A",SpaceX CRS-10 (Dragon C112.1),"2,490 kg",,,,F9 FT[,,14 January 2017,17:54
30,"KSC , LC-39A",EchoStar 23,"5,600 kg",,,,F9 FT[,,19 February 2017,14:39
31,"KSC , LC-39A",SES-10,"5,300 kg",,,,F9 FT[,,16 March 2017,06:00
32,"KSC , LC-39A",NROL-76,C,,,,F9 FT♺[,,30 March 2017,22:27
33,"KSC , LC-39A",Inmarsat-5 F4,"6,070 kg",,,,F9 FT[,,1 May 2017,11:15
34,"KSC , LC-39A",SpaceX CRS-11 (Dragon C106.2 ♺),"2,708 kg",,,,F9 FT[,,15 May 2017,23:21
35,"KSC , LC-39A",BulgariaSat-1,"3,669 kg",,,,F9 FT[,,3 June 2017,21:07
36,"VAFB , SLC-4E",Iridium NEXT -2 (10 satellites),"9,600 kg",,,,F9 FTB1029.2195,,23 June 2017,19:10
37,"KSC , LC-39A",Intelsat 35e,"6,761 kg",,,,F9 FT[,,25 June 2017,20:25
38,"KSC , LC-39A",SpaceX CRS-12 (Dragon C113.1),"3,310 kg",,,,F9 FT[,,5 July 2017,23:38
39,"VAFB , SLC-4E",Formosat-5,475 kg,,,,F9 B4[,,14 August 2017,16:31
40,"KSC , LC-39A",Boeing X-37B OTV-5,"4,990 kg",,,,F9 FT[,,24 August 2017,18:51
41,"VAFB , SLC-4E",Iridium NEXT -3 (10 satellites),"9,600 kg",,,,F9 B4[,,7 September 2017,14:00
42,"KSC , LC-39A",SES-11 / EchoStar 105,"5,200 kg",,,,F9 B4[,,9 October 2017,12:37
43,"KSC , LC-39A",Koreasat 5A,"3,500 kg",,,,F9 FTB1031.2220,,11 October 2017,22:53:00
44,"Cape Canaveral , SLC-40",SpaceX CRS-13 (Dragon C108.2 ♺),"2,205 kg",,,,F9 B4[,,30 October 2017,19:34
45,"VAFB , SLC-4E",Iridium NEXT -4 (10 satellites),"9,600 kg",,,,F9 FTB1035.2227,,15 December 2017,15:36
46,"CCAFS , SLC-40",Zuma,C,,,,F9 FTB1036.2227,,23 December 2017,01:27
47,"CCAFS , SLC-40",GovSat-1 (SES-16),"4,230 kg",,,,F9 B4[,,8 January 2018,01:00
48,"VAFB , SLC-4E",Paz Tintin A and Tintin B,"2,150 kg",,,,F9 FTB1032.2245,,31 January 2018,21:25
49,"CCAFS , SLC-40",Hispasat 30W-6 PODSat,"6,092 kg",,,,F9 FTB1038.2268,,22 February 2018,14:17
50,"VAFB , SLC-4E",Iridium NEXT -5 (10 satellites),"9,600 kg",,,,F9 B4[,,6 March 2018,05:33
51,"CCAFS , SLC-40",SpaceX CRS-14 (Dragon C110.2 ♺),"2,647 kg",,,,F9 B4B1041.2268,,30 March 2018,14:14
52,"CCAFS , SLC-40",Transiting Exoplanet Survey Satellite (TESS),362 kg,,,,F9 B4B1039.2292,,2 April 2018,20:30
53,"KSC , LC-39A",Bangabandhu-1,"3,600 kg",,,,F9 B4[,,18 April 2018,22:51
54,"VAFB , SLC-4E",Iridium NEXT -6 (5 satellites) GRACE-FO × 2,"6,460 kg",,,,F9 B5311B1046.1268,,11 May 2018,20:14
55,"CCAFS , SLC-40",SES-12,"5,384 kg",,,,F9 B4B1043.2322,,22 May 2018,19:47
56,"CCAFS , SLC-40",SpaceX CRS-15 (Dragon C111.2 ♺),"2,697 kg",,,,F9 B4B1040.2268,,4 June 2018,04:45
57,"CCAFS , SLC-40",Telstar 19V,"7,075 kg",,,,F9 B4B1045.2336,,29 June 2018,09:42
58,"VAFB , SLC-4E",Iridium NEXT -7 (10 satellites),"9,600 kg",,,,F9 B5,,22 July 2018,05:50
59,"CCAFS , SLC-40",Merah Putih (formerly Telkom 4),"5,800 kg",,,,F9 B5349B1048[,,25 July 2018,11:39
60,"CCAFS , SLC-40",Telstar 18V / Apstar -5C,"7,060 kg",,,,F9 B5B1046.2354,,7 August 2018,05:18
61,"VAFB , SLC-4E",SAOCOM 1A,"3,000 kg",,,,F9 B5[,,10 September 2018,04:45
62,"KSC , LC-39A",Es'hail 2,"5,300 kg",,,,F9 B5B1048.2364,,8 October 2018,02:22
63,"VAFB , SLC-4E",SSO-A ( SmallSat Express ),"~4,000 kg",,,,F9 B5B1047.2268,,15 November 2018,20:46
64,"CCAFS , SLC-40",SpaceX CRS-16 (Dragon C112.2♺ ),"2,500 kg",,,,F9 B5B1046.3268,,3 December 2018,18:34:05
65,"CCAFS , SLC-40",GPS III - 01 ( Vespucci ),"4,400 kg",,,,F9 B5[,,5 December 2018,18:16
66,"VAFB , SLC-4E",Iridium NEXT -8 (10 satellites),"9,600 kg",,,,F9 B5[,,23 December 2018,13:51
67,"CCAFS , SLC-40",Nusantara Satu (PSN-6) Beresheet Moon lander S5,"4,850 kg",,,,F9 B5B1049.2397,,11 January 2019,15:31
68,"KSC , LC-39A",Crew Dragon Demo-1 (Dragon C201),"12,055 kg",,,,F9 B5B1048.3399,,22 February 2019,01:45
69,"CCAFS , SLC-40",SpaceX CRS-17 (Dragon C113.2 ♺),"2,495 kg",,,,F9 B5413,,2 March 2019,07:49
70,"CCAFS , SLC-40",Starlink v0.9 (60 satellites),"13,620 kg",,,,F9 B5[,,4 May 2019,06:48
71,"VAFB , SLC-4E",RADARSAT Constellation (3 satellites),"4,200 kg",,,,F9 B5B1049.3434,,24 May 2019,02:30
72,CCAFS SLC-40,SpaceX CRS-18 ( Dragon C108 .3 ♺),"2,268 kg",,,,F9 B5B1051.2420,,12 June 2019,14:17
73,"CCAFS , SLC-40",AMOS-17,"6,500 kg",,,,F9 B5B1056.2465,,25 July 2019,22:01
74,"CCAFS , SLC-40",Starlink 1 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1047.3472,,6 August 2019,23:23
75,"CCAFS , SLC-40",SpaceX CRS-19 (Dragon C106.3 ♺),"2,617 kg",,,,F9 B5,,11 November 2019,14:56
76,"CCAFS , SLC-40",JCSat-18 / Kacific 1,"6,956 kg",,,,F9 B5[,,5 December 2019,17:29
77,"CCAFS , SLC-40",Starlink 2 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1056.3482,,17 December 2019,00:10
78,"KSC , LC-39A",Crew Dragon in-flight abort test (Dragon C205.1),"12,050 kg",,,,F9 B5,,7 January 2020,02:19:21
79,"CCAFS , SLC-40",Starlink 3 v1.0 (60 satellites),"15,600 kg",,,,F9 B5,,19 January 2020,15:30
80,"CCAFS , SLC-40",Starlink 4 v1.0 (60 satellites),"15,600 kg",,,,F9 B5,,29 January 2020,14:07
81,"CCAFS , SLC-40",SpaceX CRS-20 (Dragon C112.3 ♺),"1,977 kg",,,,F9 B5,,17 February 2020,15:05
82,"KSC , LC-39A",Starlink 5 v1.0 (60 satellites),"15,600 kg",,,,F9 B5,,7 March 2020,04:50
83,"KSC , LC-39A",Starlink 6 v1.0 (60 satellites),"15,600 kg",,,,F9 B5,,18 March 2020,12:16
84,"KSC , LC-39A",Crew Dragon Demo-2 ( Crew Dragon C206.1 Endeavour ),"12,530 kg",,,,F9 B5,,22 April 2020,19:30
85,"CCAFS , SLC-40",Starlink 7 v1.0 (60 satellites),"15,600 kg",,,,F9 B5[,,30 May 2020,19:22
86,"CCAFS , SLC-40","Starlink 8 v1.0 (58 satellites), SkySats -16, -17, -18","15,410 kg",,,,F9 B5,,4 June 2020,01:25
87,"CCAFS , SLC-40",GPS III - 03 ( Matthew Henson ),"4,311 kg",,,,F9 B5,,13 June 2020,09:21
88,"CCAFS , SLC-40",ANASIS-II,"5,000–6,000 kg",,,,F9 B5,,30 June 2020,20:10:46
89,"KSC , LC-39A","Starlink 9 v1.0 (57 Satellites), SXRS-1 (BlackSky Global 7 and 8)","14,932 kg",,,,F9 B5B1058.2544,,20 July 2020,21:30
90,"CCAFS , SLC-40","Starlink 10 v1.0 (58 satellites) SkySat -19, -20, -21","~15,440 kg",,,,F9 B5,,7 August 2020,05:12
91,"CCAFS , SLC-40",SAOCOM 1B GNOMES 1 Tyvak-0172,"3,130 kg",,,,F9 B5B1049.6544,,18 August 2020,14:31
92,"KSC , LC-39A",Starlink 11 v1.0 (60 satellites),"15,600 kg",,,,F9 B5,,30 August 2020,23:18
93,"KSC , LC-39A",Starlink 12 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1060.2563,,3 September 2020,12:46:14
94,"KSC , LC-39A",Starlink 13 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1058.3565,,6 October 2020,11:29:34
95,"CCAFS , SLC-40",Starlink 14 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1051.6568,,18 October 2020,12:25:57
96,"CCAFS , SLC-40",GPS III - 04 ( Sacagawea ),"4,311 kg",,,,F9 B5,,24 October 2020,15:31:34
97,"KSC , LC-39A",Crew-1 ( Crew Dragon C207.1 Resilience ),"~12,500 kg",,,,F9 B5,,5 November 2020,23:24:23
98,"VAFB , SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",,,,F9 B5[,,16 November 2020,00:27
99,"CCAFS , SLC-40",Starlink 15 v1.0 (60 satellites),"15,600 kg",,,,F9 B5,,21 November 2020,17:17:08
100,"KSC , LC-39A",SpaceX CRS-21 (Dragon C208.1),"2,972 kg",,,,F9 B5 ♺[,,25 November 2020,02:13
101,"CCSFS , SLC-40",SXM-7,"7,000 kg",,,,F9 B5 ♺[,,6 December 2020,16:17:08
102,"KSC , LC-39A",NROL-108,C,,,,F9 B5 ♺,,13 December 2020,17:30:00
103,"CCSFS , SLC-40",Türksat 5A,"3,500 kg",,,,F9 B5 ♺,,19 December 2020,14:00:00
104,"KSC , LC-39A",Starlink 16 v1.0 (60 satellites),"15,600 kg",,,,F9 B5,,8 January 2021,02:15
105,"CCSFS , SLC-40",Transporter-1 ( 143 smallsat rideshare ),"~5,000 kg",,,,F9 B5B1051.8609,,20 January 2021,13:02
106,"CCSFS , SLC-40",Starlink 18 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1058.5613,,24 January 2021,15:00
107,"CCSFS , SLC-40",Starlink 19 v1.0 (60 satellites),"15,600 kg",,,,F9 B5 ♺[,,4 February 2021,06:19
108,"KSC , LC-39A",Starlink 17 v1.0 (60 satellites),"15,600 kg",,,,F9 B5 ♺,,16 February 2021,03:59:37
109,"CCSFS , SLC-40",Starlink 20 v1.0 (60 satellites),"15,600 kg",,,,F9 B5 ♺[,,4 March 2021,08:24
110,"KSC , LC-39A",Starlink 21 v1.0 (60 satellites),"15,600 kg",,,,F9 B5 ♺[,,11 March 2021,08:13:29
111,"CCSFS , SLC-40",Starlink 22 v1.0 (60 satellites),"15,600 kg",,,,F9 B5 ♺,,14 March 2021,10:01
112,"CCSFS , SLC-40",Starlink 23 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1060.6643,,24 March 2021,08:28
113,"KSC , LC-39A",Crew-2 ( Crew Dragon C206.2 Endeavour ♺),"~13,000 kg",,,,F9 B5 ♺,,7 April 2021,16:34
114,"CCSFS , SLC-40",Starlink 24 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1061.2647,,23 April 2021,9:49
115,"KSC , LC-39A",Starlink 25 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1060.7652,,29 April 2021,03:44
116,"CCSFS , SLC-40",Starlink 27 v1.0 (60 satellites),"15,600 kg",,,,F9 B5B1049.9655,,4 May 2021,19:01
117,"KSC , LC-39A",Starlink 26 v1.0 (52 Satellites) Capella -6 & Tyvak -0130,"~14,000 kg",,,,F9 B5B1051.10657,,9 May 2021,06:42
118,"CCSFS , SLC-40",Starlink 28 v1.0 (60 Satellites),"15,600 kg",,,,F9 B5B1058.8660,,15 May 2021,22:56
119,"KSC , LC-39A",SpaceX CRS-22 ( Dragon C209.1 ),"3,328 kg",,,,F9 B5B1063.2665,,26 May 2021,18:59
120,"CCSFS , SLC-40",SXM-8,"7,000 kg",,,,F9 B5B1067.1668,,3 June 2021,17:29
121,,,,,,,F9 B5,,6 June 2021,04:26
